depth,lr,train_losses,val_losses,train_accuracies,val_accuracies,test_accuracy,test_f1_score
12,1e-05,"[1.3318699522943571, 0.32103542830349163, 0.1659711494576186, 0.09155675197608093, 0.06165075181258849, 0.04514749082012446, 0.023943543917895924, 0.009657695222276075, 0.005797427757773161, 0.021338230817997086, 0.0036595655518721214, 0.0005544586520115645, 0.0001711494908082934, 0.00011779355930696977, 9.848929850123572e-05, 8.639057611053712e-05, 7.849657391984148e-05, 7.345333291855891e-05, 7.063625538491778e-05, 6.95930431123836e-05]","[0.5243457037458817, 0.27941144665703177, 0.2413148735060046, 0.2344551717042244, 0.22640601554109405, 0.21001218106830494, 0.2472814673703639, 0.24782248134744198, 0.24445537002902712, 0.24229385089437225, 0.2437683118847781, 0.25799493629200393, 0.2401997395845683, 0.24109056818180155, 0.24182306489875677, 0.2421196728109741, 0.24243550855811918, 0.2426034815349461, 0.24262482102977326, 0.24262054764105415]","[0.5391068195534098, 0.8902836451418226, 0.9432106216053108, 0.9677127338563669, 0.9791792395896198, 0.9859384429692215, 0.9922751961375981, 0.9978877489438744, 0.9980687990343995, 0.9930597465298733, 0.9990947495473748, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.8199831365935919, 0.9089376053962901, 0.918212478920742, 0.9354974704890388, 0.9430860033726813, 0.9468802698145026, 0.9397133220910624, 0.9413996627318718, 0.9456155143338955, 0.9515177065767285, 0.9536256323777403, 0.9527824620573356, 0.9561551433389545, 0.9569983136593592, 0.9565767284991569, 0.9565767284991569, 0.9561551433389545, 0.9561551433389545, 0.9565767284991569, 0.9565767284991569]",95.9704641350211,95.97416623762132
12,3e-05,"[0.9944972170941158, 0.2504128934096358, 0.14894695899990462, 0.09670347714563832, 0.07488139898192163, 0.05468264453368833, 0.04569256921575597, 0.02783412849120989, 0.02550166877846099, 0.01176231875871654, 0.01538669892345051, 0.0045565001349967965, 0.0017984604017776105, 9.703129642567497e-05, 3.626390798650272e-05, 2.81122515973379e-05, 2.4180569402286784e-05, 2.192291633893185e-05, 2.0773436675923962e-05, 2.0357530640491883e-05]","[0.4987307090995212, 0.2879152800577382, 0.25200359332569255, 0.17777335917732368, 0.22168971645412966, 0.21603191033413774, 0.20653254820790606, 0.25083369459418464, 0.1948124949177145, 0.27956789464639464, 0.2148902432673094, 0.20417081967591155, 0.21585477833066913, 0.21215853300399354, 0.2147767208921285, 0.21645150222848392, 0.21765074060402337, 0.21833752792031721, 0.21861954275197262, 0.218652108407562]","[0.6543150271575136, 0.9161134580567291, 0.9485817742908872, 0.9669281834640917, 0.9746529873264936, 0.9820156910078455, 0.9852142426071213, 0.9912492456246228, 0.991973445986723, 0.996137598068799, 0.9951116475558238, 0.9986119493059746, 0.9996982498491249, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.8372681281618887, 0.9106239460370995, 0.9156829679595279, 0.9473018549747049, 0.9413996627318718, 0.9430860033726813, 0.9519392917369308, 0.945193929173693, 0.9582630691399663, 0.9460370994940978, 0.9578414839797639, 0.9624789207419899, 0.9624789207419899, 0.9645868465430016, 0.9641652613827993, 0.9645868465430016, 0.965008431703204, 0.965008431703204, 0.965008431703204, 0.965008431703204]",96.77215189873418,96.77632598293928
12,0.0001,"[0.7660091516586978, 0.23534510307046352, 0.1723669911527999, 0.12313216990583602, 0.10743016156048377, 0.0897518805553822, 0.08110477157491332, 0.06769430620192994, 0.06301229949914725, 0.042408503249636964, 0.030263635067021333, 0.024608724378309757, 0.018094325844243496, 0.002615103437665926, 0.000775896989854756, 0.00029860802325775874, 4.846304850119328e-05, 3.284879625999375e-05, 2.6922563781256994e-05, 2.5077438849244708e-05]","[0.30593034592767554, 0.2392233138314138, 0.1723010033580552, 0.256158059698937, 0.1930227841467907, 0.1869931058568424, 0.15711995965882428, 0.22788656224565482, 0.18115504332632856, 0.21087166394707613, 0.2445116290031938, 0.18058268627308696, 0.17351953605060544, 0.18026403469725344, 0.1960130211961276, 0.20290521612052165, 0.2078449525384995, 0.2101820189172695, 0.21117476589441073, 0.21132390718458027]","[0.7334339167169583, 0.9205190102595051, 0.9420639710319855, 0.9595051297525649, 0.9629450814725408, 0.9695232347616174, 0.9731442365721182, 0.9764634882317441, 0.9788171394085697, 0.9857573928786965, 0.9896197948098974, 0.992154496077248, 0.9938442969221485, 0.9991550995775498, 0.999818949909475, 0.999939649969825, 1.0, 1.0, 1.0, 1.0]","[0.9026138279932546, 0.9232715008431703, 0.9464586846543002, 0.9228499156829679, 0.945193929173693, 0.9519392917369308, 0.9506745362563238, 0.9342327150084317, 0.9468802698145026, 0.9473018549747049, 0.9456155143338955, 0.9629005059021922, 0.965008431703204, 0.9658516020236088, 0.9662731871838112, 0.9692242833052277, 0.968381112984823, 0.968381112984823, 0.968381112984823, 0.968381112984823]",97.21518987341771,97.21851240163046
12,0.0003,"[0.6705149089824048, 0.3031301697245062, 0.24991661294194434, 0.21508576027854817, 0.21187841276185135, 0.1801083110260299, 0.16581387368289746, 0.1536041482463641, 0.1287424961527725, 0.10527772008084951, 0.08757695178449618, 0.06954710310379301, 0.043745394574349776, 0.02902096998217474, 0.01670505406456928, 0.004703396490680717, 0.00032736161113820403, 6.775344594031136e-05, 4.010736614355678e-05, 3.588590752998486e-05]","[0.2800243720035845, 0.2948095423479875, 0.289033001405478, 0.26081163295777515, 0.37435170626093167, 0.29595375384824973, 0.18809875996414727, 0.17844931649315793, 0.20056190222370787, 0.1630520614453902, 0.2332182472232186, 0.1657013096465501, 0.18350742386025257, 0.2209936138728017, 0.24352397280675742, 0.22239867039863176, 0.2307920977010976, 0.23250997273467505, 0.23376131737904862, 0.23402220551356842]","[0.7704284852142426, 0.9013277006638504, 0.9166566083283042, 0.9315027157513579, 0.9275196137598068, 0.9391671695835848, 0.9452021726010863, 0.9490042245021123, 0.955884127942064, 0.9642124321062161, 0.9701870850935426, 0.976101388050694, 0.9852745926372963, 0.9911285455642728, 0.9943270971635486, 0.9987929993964997, 1.0, 1.0, 1.0, 1.0]","[0.9085160202360877, 0.8996627318718381, 0.9068296795952783, 0.9198988195615514, 0.8781618887015177, 0.904300168634064, 0.934654300168634, 0.9413996627318718, 0.9409780775716695, 0.9477234401349073, 0.9270657672849916, 0.9477234401349073, 0.9565767284991569, 0.9489881956155143, 0.9456155143338955, 0.9624789207419899, 0.9641652613827993, 0.965008431703204, 0.965008431703204, 0.965008431703204]",96.79324894514768,96.79473976992482
8,1e-05,"[1.9818572773666456, 0.5535762466662869, 0.2653181891039762, 0.1580578242806164, 0.1036755158440084, 0.06442920061935847, 0.039390200442044804, 0.02452467388112069, 0.014210417571847964, 0.007939161950453548, 0.004242607870280318, 0.002708935476596823, 0.00200009835531358, 0.0016023222571998497, 0.0013353469558860243, 0.0011576135562706745, 0.0010372117484196512, 0.0009579474036368311, 0.0009128317183468394, 0.0008931969675699764]","[1.0104323474566141, 0.37862231927613416, 0.2647434769446651, 0.2771223191916943, 0.21520256909231344, 0.21023083264008163, 0.22033399173369012, 0.21571176122097918, 0.23937488233670592, 0.23300818215124308, 0.23657041699858383, 0.2416784929833375, 0.24066569563932716, 0.24610350328652808, 0.24842480021373678, 0.24912702249285454, 0.25166891934350133, 0.2512753670530704, 0.25176078591107703, 0.2520951530779712]","[0.31116475558237777, 0.8263126131563066, 0.9168376584188292, 0.952142426071213, 0.9694628847314424, 0.9823777911888956, 0.9904043452021726, 0.9949909474954738, 0.9980687990343995, 0.9994568497284249, 0.99987929993965, 0.999939649969825, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.6821247892074199, 0.8811129848229342, 0.9144182124789207, 0.9102023608768971, 0.934654300168634, 0.9338111298482293, 0.934654300168634, 0.9367622259696459, 0.9363406408094435, 0.9405564924114671, 0.93929173693086, 0.9405564924114671, 0.9426644182124789, 0.9418212478920742, 0.9418212478920742, 0.9418212478920742, 0.9409780775716695, 0.9413996627318718, 0.9413996627318718, 0.9413996627318718]",94.9789029535865,94.9829197667613
8,3e-05,"[1.4868950749456191, 0.3371679076716361, 0.1771800203327967, 0.10840980537392156, 0.06156426171671499, 0.040219024592236544, 0.03506469045442971, 0.01633365473769107, 0.011268089811186599, 0.011845027851162192, 0.0007990426676144799, 0.0004124949528082498, 0.00032025620759991593, 0.00026743840048783847, 0.00023222384737203578, 0.00020754846981438358, 0.0001903502439028994, 0.00017913523371068223, 0.00017259070086221567, 0.00016997772580061335]","[0.5148414846261342, 0.3120914307422936, 0.24240146758034825, 0.227141898671786, 0.19181526940781624, 0.2401255588233471, 0.23136288331782756, 0.2351985588398141, 0.23269083364478624, 0.22519199937135756, 0.23456888518752142, 0.23424151289858855, 0.2371146623955186, 0.2378172075052377, 0.23942335167356457, 0.2403506711392159, 0.24105442773880592, 0.2414998398211901, 0.2416096378778942, 0.24161470359608453]","[0.48774894387447193, 0.8903439951719976, 0.9404948702474352, 0.9636089318044659, 0.9809293904646952, 0.9875075437537719, 0.9896801448400724, 0.9955340977670489, 0.9971031985515992, 0.9966807483403741, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.8330522765598651, 0.8992411467116358, 0.9236930860033726, 0.9295952782462057, 0.9405564924114671, 0.9376053962900506, 0.9447723440134908, 0.9409780775716695, 0.9464586846543002, 0.9536256323777403, 0.9502529510961214, 0.9506745362563238, 0.9502529510961214, 0.9510961214165261, 0.9510961214165261, 0.9510961214165261, 0.9510961214165261, 0.9510961214165261, 0.9510961214165261, 0.9515177065767285]",96.05485232067512,96.0553135898554
8,0.0001,"[1.071397328253073, 0.26101756039071955, 0.16676683443091436, 0.11491032584204472, 0.0902641195503628, 0.07149582289388083, 0.05718751707172487, 0.04961922064367488, 0.023040887814646784, 0.021655801236333393, 0.020799229413235667, 0.007782960288230762, 0.0012917403510670166, 0.00019444042566341607, 0.000131914220122619, 0.00011004855524688502, 9.757218621904648e-05, 9.007568296264917e-05, 8.607876679538002e-05, 8.462917464866184e-05]","[0.3463107568025589, 0.3354523499744634, 0.19454052022037407, 0.19387009305258593, 0.20710484764461096, 0.2571697173904007, 0.20693851838936098, 0.19288839181671696, 0.23108511258350822, 0.22390673681448486, 0.20069922461727402, 0.1936652517891586, 0.17271665966749425, 0.17125466729310573, 0.17333455821618068, 0.17460274900882117, 0.1753840854634715, 0.17595295275794343, 0.1761679319857649, 0.1762128669992914]","[0.6318044659022329, 0.9146047073023537, 0.9446590223295112, 0.960108630054315, 0.9686179843089922, 0.9762824381412191, 0.9814725407362703, 0.9830416415208207, 0.9925769462884731, 0.9931804465902233, 0.9925769462884731, 0.9976463488231744, 0.999818949909475, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.8844856661045531, 0.8916526138279932, 0.938026981450253, 0.9422428330522765, 0.9397133220910624, 0.9338111298482293, 0.9388701517706577, 0.9510961214165261, 0.9456155143338955, 0.9502529510961214, 0.9540472175379426, 0.9586846543001686, 0.9645868465430016, 0.9662731871838112, 0.9662731871838112, 0.9662731871838112, 0.9658516020236088, 0.9658516020236088, 0.9658516020236088, 0.9658516020236088]",96.8987341772152,96.90277011678089
8,0.0003,"[0.8624867641126097, 0.2647832074134276, 0.2111571681879921, 0.15367661801914767, 0.1385059014585725, 0.10838439688974233, 0.11077340970341293, 0.08322910241859975, 0.07076039387571219, 0.06534806725930452, 0.05096399660364549, 0.031213521047045938, 0.016156775680583345, 0.012376047776579633, 0.0034905798469424755, 0.0003263686050364153, 9.577680140511774e-05, 7.823116647217563e-05, 7.122940694066476e-05, 6.888252076036625e-05]","[0.43083149175470076, 0.23094592453252213, 0.19817749767700055, 0.19611580743764837, 0.1773013611792703, 0.1865500775297793, 0.17616868438902505, 0.20065338142604255, 0.19790601252498163, 0.1752470645836244, 0.16820831632205227, 0.18092171044440572, 0.19452597136582578, 0.19380570428880067, 0.20194519116488663, 0.19709085410210417, 0.1979726430569887, 0.1986435442470429, 0.1989263776542672, 0.19899411899704622]","[0.6980687990343996, 0.9109233554616777, 0.9285455642727821, 0.947676523838262, 0.9532287266143633, 0.9631864815932408, 0.9622812311406156, 0.9723596861798431, 0.9750150875075437, 0.9771273385636693, 0.9834640917320459, 0.9890162945081472, 0.9940856970428485, 0.995835847917924, 0.9990343995171997, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.8511804384485666, 0.9236930860033726, 0.9342327150084317, 0.9401349072512648, 0.9367622259696459, 0.9481450252951096, 0.9477234401349073, 0.9409780775716695, 0.9456155143338955, 0.9523608768971332, 0.9532040472175379, 0.9548903878583473, 0.9612141652613828, 0.9607925801011804, 0.9633220910623946, 0.965008431703204, 0.965008431703204, 0.9645868465430016, 0.9645868465430016, 0.9645868465430016]",96.9831223628692,96.98287780189216
